title,dbscan_clusters
Five Came Back: The Reference Films,0
Taxi Driver,1
Deliverance,1
Monty Python and the Holy Grail,-1
The Dirty Dozen,-1
Monty Python's Flying Circus,2
Life of Brian,3
Dirty Harry,4
Bonnie and Clyde,5
The Blue Lagoon,6
The Guns of Navarone,7
The Professionals,8
Richard Pryor: Live in Concert,9
White Christmas,6
Cairo Station,10
Hitler: A Career,-1
FTA,11
Alexandria… Why?,10
The Land,10
Dostana,12
Saladin the Victorious,-1
Alibaba Aur 40 Chor,-1
The Blazing Sun,-1
Dark Waters,-1
We Are All for the Fatherland,-1
Singapore,12
Monty Python's Fliegender Zirkus,13
"Beirut, Oh Beirut",14
The Return of the Prodigal Son,-1
Khoon Khoon,15
Manoranjan,16
Ujala,16
Whispers,17
Chadi Jawani Budhe Nu,16
Bandie,12
Seinfeld,18
GoodFellas,1
Full Metal Jacket,11
Once Upon a Time in America,5
When Harry Met Sally...,9
A Nightmare on Elm Street,-1
Steel Magnolias,9
Police Academy,5
Christine,19
Knight Rider,20
Thomas & Friends,21
Saved by the Bell,22
Awakenings,1
Wheel of Fortune,22
National Lampoon's Christmas Vacation,9
Lean On Me,1
Eddie Murphy Raw,9
She's Gotta Have It,6
Major Dad,18
Endless Love,6
Danger Mouse,21
Vaashi,12
Mobile Suit Gundam: Char's Counterattack,23
Mobile Suit Gundam II: Soldiers of Sorrow,24
Fireman Sam,21
Sam Kinison: Breaking the Rules,9
Waiting for the Hearse,25
Tim Allen: Men Are Pigs,9
Mobile Suit Gundam III: Encounters in Space,26
Monty Python Live at the Hollywood Bowl,3
Disco Dancer,12
Agneepath,12
Parrot Sketch Not Included: Twenty Years of Monty Python,3
Too Young The Hero,1
A Stoning in Fulham County,4
The Ryan White Story,1
Dil,12
Adam: His Song Continues,5
The George McKenna Story,1
In Defense of a Married Man,1
Bill Hicks: Sane Man,9
Mujrim,12
Aakhri Adaalat,27
"Alexandria, Again and Forever",28
Duniya,27
Strange Voices,1
Jaal,27
Quiet Victory: The Charlie Wedemeyer Story,1
High Risk,18
Muqaddar Ka Faisla,27
Pyar Ke Do Pal,12
Sohni Mahiwal,16
Ek Jaan Hain Hum,-1
An Egyptian Story,10
The Little Wars,-1
Unspeakable Acts,1
Survivor,29
Mission: Impossible,4
Stargate SG-1,30
Se7en,5
Pokémon,31
Boogie Nights,1
Forrest Gump,1
Snatch,5
The Talented Mr. Ripley,4
One Piece,32
The Challenge,29
Titanic,1
Cowboy Bebop,32
Starship Troopers,33
Mission: Impossible II,4
Dumb and Dumber,9
Neon Genesis Evangelion,34
Gattaca,33
Léon: The Professional,5
Gilmore Girls,18
Natural Born Killers,4
The Quick and the Dead,26
You've Got Mail,9
Power Rangers,35
Big Daddy,1
Vampires,36
Yu-Gi-Oh!,37
Donnie Brasco,1
The Magic School Bus,38
Goosebumps,20
InuYasha,37
A River Runs Through It,1
"Girl, Interrupted",39
Last Action Hero,40
All That,18
My Girl,1
Wyatt Earp,8
Eraser,4
Neon Genesis Evangelion: The End of Evangelion,26
Vegas Vacation,9
In the Line of Fire,1
Little Women,1
U.S. Marshals,4
Barney & Friends,18
Anaconda,-1
Kenan & Kel,22
The Replacements,9
Seven Years in Tibet,40
The Net,4
Cliffhanger,-1
Menace II Society,1
Johnny Mnemonic,41
3 Ninjas Kick Back,42
Edge of Seventeen,6
My First Errand,-1
The Devil's Own,5
Cardcaptor Sakura,37
Spawn,33
Adventures of Sonic the Hedgehog,20
Croupier,-1
Girlfriends,43
The Next Karate Kid,40
Geronimo: An American Legend,8
Double Team,44
Heavy,1
The Players Club,9
The Parkers,18
"Sister, Sister",18
Moesha,43
Heartbreak High,45
Oggy and the Cockroaches,46
Kuch Kuch Hota Hai,16
Children of God,47
Knight Rider 2000,40
Okupas,48
Hum Aapke Hain Koun..!,12
Dil Se..,12
Jerry Seinfeld: I'm Telling You for the Last Time,9
H,49
Sankofa,39
Herod's Law,50
Wild Tango,51
The Last Days,1
Sam Kinison: Live in Vegas,9
Bill Hicks: Revelations,3
Bombay,12
Escalona,52
Mann,12
Soldier,53
Sam Kinison: Family Entertainment Hour,9
Sinbad: Son of a Preacher Man,9
Damini,12
Hum Saath Saath Hain,16
Destiny,28
Chronicle of a Disappearance,-1
Muthu,54
Jeans,54
Monty Python: Live at Aspen,3
Minsara Kanavu,54
Duplicate,54
Avvai Shanmugi,12
Anjaam,16
A Triumph of the Heart: The Ricky Bell Story,1
Phir Bhi Dil Hai Hindustani,54
Children of Shatila,-1
Bill Hicks: Relentless,3
Tim Allen: Rewires America,9
Bill Hicks: One Night Stand,9
West Beirut,55
Govindha Govindha,12
Out of Life,56
Gumrah,12
Sinbad: Nothin' but the Funk,9
Sinbad: Afros and Bellbottoms,9
Fiza,16
Before the Flying Circus,3
The Other,55
Yodha,27
The Emigrant,28
Hello Brother,54
Dushmani,16
One Last Shot,57
Nightmare in Columbia County,1
Have You Ever Seen Fireflies? - Theatre Play,58
Shikari,12
Breaking Bad,43
Top Gear,2
The Walking Dead,35
Supernatural,20
The Mist,19
Mean Girls,59
The Great British Baking Show,60
30 Rock,18
Borgen,-1
Community,18
Catch Me If You Can,1
Grey's Anatomy,43
Arrested Development,18
Heartland,61
The Staircase,-1
Old School,9
NCIS,62
Avatar: The Last Airbender,20
Anchorman: The Legend of Ron Burgundy,9
Friday Night Lights,43
The IT Crowd,2
Inception,40
The Spectacular Spider-Man,35
The Departed,1
Zoey 101,43
Insidious,-1
War of the Worlds,40
DEATH NOTE,32
The Vampire Diaries,43
Naruto,32
Wanted,63
Casino Royale,63
My Little Pony: Friendship Is Magic,64
Blade Runner: The Final Cut,40
Chappelle's Show,18
The Terminal,1
Michael Clayton,4
Road to Perdition,4
Victorious,18
Big Fish,40
The Hurt Locker,4
Troy,-1
Sherlock Holmes,-1
Trailer Park Boys,64
Love Actually,65
America's Next Top Model,29
Get Smart,9
Quantum of Solace,66
The Blind Side,1
Apocalypse Now Redux,1
Identity,4
I Am Legend,33
The Fairly OddParents,64
Grown Ups,9
The Girl Next Door,9
Ned's Declassified School Survival Guide,22
The Fighter,1
Public Enemies,40
Not Another Teen Movie,9
Blow,5
Hancock,36
iCarly,18
The Pursuit of Happyness,1
Monster,5
Rambo,63
Something's Gotta Give,1
Harold & Kumar Go to White Castle,9
Thir13en Ghosts,-1
